Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,Status
2016-01-01,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160101: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-01-04,156.81149760502763,148.49897393212234,229239116.98000002,217087230.06,12151886.920000017,146187697.0,163.3264409876988,163.324273851562,89511134.38,89509946.67999999,1187.7000000029802,54805048.0,158.58793876366036,152.54141473613888,318750251.36,306597176.74,12153074.620000005,200992745.0,ok
2016-01-05,156.17653545565724,147.98029329286922,227791224.88000003,215836599.07,11954625.810000032,145854961.0,162.21126118774757,162.20895442429068,88202188.35,88200934.05000001,1254.2999999821186,54374886.0,157.81533970307635,151.84426181976755,315993413.23,304037533.12,11955880.110000014,200229847.0,ok
2016-01-06,154.26691111109216,145.9288719946215,222656815.88,210622341.17000002,12034474.709999979,144332193.0,159.9567765512364,159.95447747906118,86087996.54,86086759.19,1237.3500000089407,53819537.0,155.81232241575685,149.73833453788166,308744812.42,296709100.36,12035712.060000002,198151730.0,ok
2016-01-07,150.5439338010908,142.80986236249805,214359355.29000002,203346818.78,11012536.51000002,142389899.0,155.37532255785663,155.37306558439414,81729619.78,81728432.58,1187.2000000029802,52601416.0,151.84726307938385,146.19894807109745,296088975.07000005,285075251.36,11013723.710000038,194991315.0,ok
2016-01-08,153.89679307279488,145.77490901750755,217997428.25,206492641.17000002,11504787.079999983,141651703.0,160.15906155224752,160.1568078258123,84166199.03999999,84165014.67,1184.3699999898672,52551631.0,155.59136965691843,149.6666662993541,302163627.28999996,290657655.84000003,11505971.449999928,194203334.0,ok
2016-01-11,150.9925829335826,142.77272547857802,213570856.47,201944311.89000002,11626544.579999983,141444601.0,157.29033199216528,157.28816757736433,82538343.94,82537208.16,1135.780000001192,52475154.0,152.69676903727523,146.70063916386448,296109200.40999997,284481520.05,11627680.359999955,193919755.0,ok
2016-01-12,148.66335996803127,140.42471521131458,207275782.12,195788946.79,11486835.330000013,139426273.0,153.00855960420296,153.0064095430975,79064036.5,79062925.5,1111.0,51672950.0,149.83829558532534,143.82678693047325,286339818.62,274851872.28999996,11487946.330000043,191099223.0,ok
2016-01-13,150.4774676025628,141.96096377573568,208968658.16000003,197141755.39999998,11826902.76000005,138870398.0,155.50611480501783,155.5038839314786,79949730.56,79948583.61000001,1146.949999988079,51412596.0,151.83615868478506,145.6201277818868,288918388.72,277090339.01,11828049.710000038,190282994.0,ok
2016-01-14,148.75293855930283,140.34846649059,204607853.69,193047604.81,11560248.879999995,137548781.0,153.28880488181682,153.28660356367797,78147190.69999999,78146068.46000001,1122.2399999797344,50980364.0,149.97948693290897,143.84708171778956,282755044.39,271193673.27,11561371.120000005,188529145.0,ok
2016-01-15,148.57109594760055,140.10469028789055,203217452.69,191636994.32,11580458.370000005,136781284.0,153.4461462159323,153.44402171258815,77669123.84,77668048.49,1075.3500000089407,50616536.0,149.8878570359036,143.70767109777478,280886576.53,269305042.81,11581533.719999969,187397820.0,ok
2016-01-18,152.90849388420088,144.29598311198097,209167863.73999998,197386566.09,11781297.649999976,136792835.0,158.55387339384404,158.55170053088065,79989745.75999999,79988649.56,1096.199999988079,50449569.0,154.42955405550123,148.1369656255855,289157609.5,277375215.65,11782393.850000024,187242404.0,ok
2016-01-19,154.9711159479614,146.16985475258744,212957045.82999998,200862594.72999996,12094451.100000024,137417250.0,161.08674372105753,161.08456742067068,81605524.69,81604422.19,1102.5,50659367.0,156.61839053602287,150.18720637664381,294562570.52,282467016.91999996,12095553.600000024,188076617.0,ok
2016-01-20,151.1127192355098,142.24437864272883,208522970.89999998,196285399.26,12237571.639999986,137991674.0,155.61494197607811,155.61281037604255,78647013.60000001,78645936.30000001,1077.2999999970198,50539500.0,152.3196288482243,145.82805046342096,287169984.5,274931335.56,12238648.939999998,188531174.0,ok
2016-01-21,151.00432747245895,142.03141082861578,207720467.15,195377387.53000003,12343079.619999975,137559281.0,155.99510647848632,155.9929893545235,78914018.25,78912947.25,1071.0,50587496.0,152.34621074587952,145.78529547705193,286634485.4,274290334.78000003,12344150.619999945,188146777.0,ok
2016-01-22,152.2590902767219,142.9225943083493,209639017.10000002,196783995.87,12855021.23000002,137685715.0,157.34557966760826,157.34346440476088,79511012.22,79509943.32,1068.9000000059605,50532727.0,153.62470661615617,146.79429722938627,289150029.32000005,276293939.19,12856090.130000055,188218442.0,ok
2016-01-25,155.0097163674874,145.5740544074362,211930119.72000003,199029631.83,12900487.890000015,136720539.0,160.19277755516012,160.19050035113835,80785640.63,80784492.23,1148.3999999910593,50430264.0,156.40636089068772,149.51264946482758,292715760.35,279814124.06,12901636.290000021,187150803.0,ok
2016-01-26,154.18622188001962,144.80382180846178,211299287.03000003,198441494.54000002,12857792.49000001,137041614.0,160.25800342847126,160.25574938409477,81101466.51,81100325.81,1140.7000000029802,50606812.0,155.8237176687003,148.97104457993166,292400753.54,279541820.35,12858933.189999998,187648426.0,ok
2016-01-27,153.66337996011578,144.3219149954843,210293108.26,197509023.31,12784084.949999988,136853106.0,160.50414384674582,160.5018689379841,81101939.75999999,81100790.25999999,1149.5,50529499.0,155.5080569084841,148.6849932361651,291395048.02,278609813.57,12785234.449999988,187382605.0,ok
2016-01-28,155.00332177857706,145.57088844885016,211402787.04,198538271.16,12864515.879999995,136385972.0,161.68080479355754,161.67848720509676,81617959.34,81616789.4,1169.9399999976158,50480921.0,156.8072020012662,149.92225538849195,293020746.38,280155060.56,12865685.819999993,186866893.0,ok
2016-01-29,157.8032248387207,148.22595385481048,213368165.74,200418590.44,12949575.300000012,135211537.0,163.97975484433266,163.9775051650175,82903946.49,82902809.11,1137.3799999952316,50557428.0,159.48418091794827,152.5127728143396,296272112.23,283321399.55,12950712.680000007,185768965.0,ok
2016-02-01,158.90134148883297,149.08038478110103,214256937.4,201014707.43,13242229.969999999,134836456.0,164.80725105040352,164.80529348223445,82893266.22,82892281.62,984.5999999940395,50297099.0,160.5058594699378,153.35252923220753,297150203.62,283906989.05,13243214.569999993,185133555.0,ok
2016-02-02,158.7331157135559,148.83693939230656,212484159.88,199236888.18,13247271.699999988,133862527.0,164.87992366004573,164.8779650255618,82808907.04,82807923.34,983.7000000029802,50223766.0,160.41013271965883,153.21336908011938,295293066.92,282044811.52,13248255.400000036,184086293.0,ok
2016-02-03,156.74122556086994,147.0297591956877,208350270.96,195441180.57,12909090.390000015,132926274.0,163.529265352645,163.52730959977296,81499036.62,81498061.92,974.7000000029802,49837585.0,158.59224529724995,151.52844988351885,289849307.58000004,276939242.49,12910065.090000033,182763859.0,ok
2016-02-04,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160204: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-02-05,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160205: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-02-08,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160208: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-02-09,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160209: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-02-10,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160210: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-02-11,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160211: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-02-12,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160212: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-02-15,157.23429835986278,147.35707718021095,209895500.45,196710182.08,13185318.369999975,133492185.0,165.27504473943267,165.27310325927976,82744777.61,82743805.61,972.0,50064895.0,159.4273988559853,152.24364415145416,292640278.06,279453987.69,13186290.370000005,183557080.0,ok
2016-02-16,160.33552162420716,150.20248632705352,213630651.38,200129420.28,13501231.099999994,133239752.0,167.50988178556833,167.50792786890943,84641535.52000001,84640548.22,987.3000000119209,50529279.0,162.3081894032515,154.96080430439883,298272186.9,284769968.5,13502218.399999976,183769031.0,ok
2016-02-17,160.2118493204551,150.08372509514547,214188025.62,200647685.49999997,13540340.120000035,133690502.0,168.23782660884163,168.23586258391956,85574061.15,85573062.15,999.0,50864935.0,162.42387200437773,155.08659744876547,299762086.77,286220747.65,13541339.120000005,184555437.0,ok
2016-02-18,161.9022625381051,151.56226392288198,216481254.07,202655530.87,13825723.199999988,133711074.0,170.4330528049846,170.43108561400325,87252904.83,87251897.72999999,1007.1000000089407,51194826.0,164.26417918519635,156.78646738692493,303734158.9,289907428.6,13826730.299999952,184905900.0,ok
2016-02-19,162.10489081206373,151.678375773958,217568502.11,203574592.07,13993910.040000021,134214644.0,171.6263944806045,171.6244376412183,88565435.86,88564426.06,1009.7999999970198,51603622.0,164.74910920221376,157.2175999801871,306133937.97,292139018.13,13994919.840000033,185818266.0,ok
2016-02-22,162.67481123560492,152.17405057457356,218314493.19,204222156.31,14092336.879999995,134203010.0,172.55353174132026,172.55157771510895,89728399.03,89727382.93,1016.0999999940395,52000326.0,165.43360545377126,157.86480820085845,308042892.22,293949539.24,14093352.98000002,186203336.0,ok
2016-02-23,163.3204092164366,152.53382387148696,220570280.0,206002595.76999998,14567684.23000002,135053715.0,173.7875447741882,173.7856118178943,91031488.72999999,91030476.22999999,1012.5,52380905.0,166.24557871432717,158.47289684264305,311601768.73,297033072.0,14568696.73000002,187434620.0,ok
2016-02-24,162.25900221664622,151.47813390887163,219689247.15,205092578.8,14596668.349999994,135394181.0,171.23912609437082,171.23749009211983,90105569.22999999,90104708.37,860.8599999845028,52619732.0,164.77228277249887,157.00821415806607,309794816.38,295197287.17,14597529.209999979,188013913.0,ok
2016-02-25,162.7912120362589,151.97774821782843,220118523.17000002,205497072.44,14621450.73000002,135215237.0,170.92373894632217,170.9221246413781,90496235.06,90495380.36,854.7000000029802,52945387.0,165.07957490085704,157.30839242965095,310614758.23,295992452.8,14622305.430000007,188160624.0,ok
2016-02-26,163.7325553446495,152.84692668985997,221232276.93,206523825.04000002,14708451.889999986,135118075.0,172.04822759087577,172.04659864402433,91330065.65,91329200.94,864.7100000083447,53083991.0,166.07806132160104,158.26235721556853,312562342.58000004,297853025.98,14709316.600000024,188202066.0,ok
2016-02-29,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20160229: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2016-03-01,165.25506927462504,154.22454457272906,223733674.07,208799791.38,14933882.689999998,135386875.0,174.12022516674696,174.1185679975622,92635741.68,92634860.03,881.6500000059605,53202172.0,167.75598624770612,159.83677536161468,316369415.75,301434651.40999997,14934764.340000033,188589047.0,ok
2016-03-02,166.40313506613856,155.42839685912526,224770702.05,209946464.45,14824237.600000024,135076002.0,174.53429352909083,174.53259327437283,93207880.47,93206972.47,908.0,53403763.0,168.70701346640578,160.84137038265087,317978582.52,303153436.91999996,14825145.600000024,188479765.0,ok
