Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,Status
2012-01-20,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120120: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-01-23,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120123: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-01-24,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120124: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-01-25,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120125: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-01-26,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120126: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-01-27,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120127: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-01-30,153.0928078537932,152.1315921883188,269250206.06,267559679.12,1690526.9399999976,175873844.0,170.11360868679677,170.1085774634102,55826298.64,55824647.54,1651.1000000014901,32817068.0,155.7693632102197,154.95850948219538,325076504.7,323384326.66,1692178.0399999619,208690912.0,ok
2012-01-31,156.1608303876066,155.22644419937913,279267197.75,277596206.29999995,1670991.4500000477,178833064.0,175.41990803215091,175.4143251077125,58176224.97,58174373.45,1851.5199999958277,33163981.0,159.1736444816955,158.3845566102112,337443422.72,335770579.74999994,1672842.9700000882,211997045.0,ok
2012-02-01,159.2280188681453,158.31455252577632,289178742.1,287519768.7,1658973.4000000358,181612975.0,180.97270409916422,180.96594755245127,60777373.45999999,60775104.35999999,2269.10000000149,33583724.0,162.62150729365973,161.84954261775178,349956115.56,348294873.06,1661242.5,215196699.0,ok
2012-02-02,161.99711584903008,161.10843222260195,297540097.82000005,295907852.63,1632245.1900000572,183669997.0,184.96697811751307,184.95913272614598,62807832.86,62805168.86,2664.0,33956241.0,165.58110547313697,164.82985911377102,360347930.68000007,358713021.49,1634909.1900000572,217626238.0,ok
2012-02-03,162.97802049876137,162.13566665320843,304483440.7,302909714.4,1573726.300000012,186824849.0,187.48779450869375,187.4797629986947,64703342.8,64700571.07000001,2771.729999989271,34510696.0,166.79959086553404,166.08732477650616,369186783.5,367610285.46999997,1576498.030000031,221335545.0,ok
2012-02-06,161.24728295615643,160.44683698753076,307852119.39,306323913.87,1528205.519999981,190919260.0,187.24966294214605,187.24015962060957,65977510.49,65974161.99,3348.5,35235049.0,165.2984776336939,164.62126125573846,373829629.88,372298075.86,1531554.019999981,226154309.0,ok
2012-02-07,161.37999803202754,160.5716855704031,309676803.43,308125708.98,1551094.449999988,191892928.0,187.23499614674216,187.22535119969456,66232438.26,66229026.46,3411.7999999970198,35373963.0,165.40431386021822,164.72031354536372,375909241.69,374354735.44,1554506.25,227266891.0,ok
2012-02-08,165.62000480073021,164.81109730803263,321840420.13,320268513.84000003,1571906.2899999619,194324605.0,192.0445405429402,192.03470205338203,68696133.53,68692614.21000001,3519.3199999928474,35770938.0,169.72799584388298,169.04331260775444,390536553.65999997,388961128.0500001,1575425.609999895,230095543.0,ok
2012-02-09,166.53858983638025,165.73743812230848,327036611.85,325463367.22,1573244.6299999952,196372872.0,194.80268830932368,194.7929417983665,70195245.51,70191733.45,3512.060000002384,36034023.0,170.92085730072682,170.24241069525928,397231857.36,395655100.67,1576756.6899999976,232406895.0,ok
2012-02-10,165.6477682238185,164.88186446323712,329575850.89,328051994.65999997,1523856.230000019,198961842.0,194.6181050352189,194.61133124113596,70965652.85999998,70963182.86,2469.999999985099,36464055.0,170.1348529851837,169.4865274400972,400541503.75,399015177.52,1526326.230000019,235425897.0,ok
2012-02-13,167.2087305159584,166.4671900150777,339412015.90999997,337906784.96,1505230.949999988,202987018.0,195.73196164922376,195.72507521028263,71721271.95,71718748.58000001,2523.369999989867,36642596.0,171.57031678897582,170.9411147905951,411133287.85999995,409625533.53999996,1507754.3199999928,239629614.0,ok
2012-02-14,166.14593044702025,165.41918094464233,336967302.08000004,335493351.93000007,1473950.1499999762,202814057.0,194.60318170441485,194.59649411411948,71663927.45,71661464.7,2462.75,36825671.0,170.51898403506783,169.9028871498302,408631229.53000003,407154816.63000005,1476412.8999999762,239639728.0,ok
2012-02-15,168.764793197276,168.01646649167856,346013865.09000003,344479591.2,1534273.8900000453,205027280.0,197.40291632051458,197.39662678409468,73976938.32,73974581.31,2357.0099999904633,37475099.0,173.19038482917318,172.55672881873048,419990803.41,418454172.51,1536630.9000000358,242502379.0,ok
2012-02-16,163.25100975354027,162.50672548052125,332386620.90999997,330871223.64000005,1515397.2699999213,203604634.0,191.32262816941568,191.31700208019643,71914879.44,71912764.69,2114.75,37588277.0,167.62578082155989,166.99661140952855,404301500.34999996,402783988.33000004,1517512.0199999213,241192911.0,ok
2012-02-17,163.129128848006,162.37000526526793,333475979.40999997,331924144.48,1551834.9299999475,204424545.0,190.54475566177067,190.53916057042994,71797930.84,71795822.59,2108.25,37680350.0,167.3960000891349,166.75415301702182,405273910.25,403719967.07000005,1553943.1799999475,242104895.0,ok
2012-02-20,165.17995341770265,164.4059361700095,340448951.38,338853640.6,1595310.7799999714,206107911.0,194.5606160886273,194.55469174473203,73967494.69,73965242.39,2252.2999999970198,38017712.0,169.75540747314344,169.10100542375267,414416446.07,412818882.99,1597563.0799999833,244125623.0,ok
2012-02-21,164.7113128287674,163.96794673953877,341220249.68,339680273.11,1539976.5699999928,207162607.0,194.91902939747774,194.9135682668036,74459357.71000001,74457271.55000001,2086.1599999964237,38200148.0,169.41430552081957,168.78582271380188,415679607.39,414137544.66,1542062.7299999595,245362755.0,ok
2012-02-22,167.18418807295126,166.43226968947812,349110024.15999997,347539886.16999996,1570137.9900000095,208817609.0,197.21197285052813,197.2072322246874,76100459.78999999,76098630.47,1829.3199999928474,38588154.0,171.86765530195024,171.23227507032647,425210483.9499999,423638516.64,1571967.3099999428,247405763.0,ok
2012-02-23,165.6449383567267,164.90016777061717,346989177.22,345429049.05999994,1560128.1600000858,209477682.0,195.83343829279576,195.82873972371982,75844798.4,75842978.67999999,1819.720000013709,38729238.0,170.35543393391288,169.7261412937238,422833975.62,421272027.73999995,1561947.8800000548,248206920.0,ok
2012-02-24,165.0750396606444,164.3401754342983,344437667.36,342904334.88,1533332.480000019,208655208.0,193.99237801558743,193.98995209083392,75103607.91000001,75102668.72000001,939.1899999976158,38714721.0,169.6007582514203,168.98052454872152,419541275.27000004,418007003.6,1534271.6700000167,247369929.0,ok
2012-02-27,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120227: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-02-28,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120228: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-02-29,167.0205267354613,166.28105689950672,347624098.02,346085020.52,1539077.5,208132560.0,194.49366250269776,194.4916046993609,75338053.74,75337256.64,797.0999999940395,38735480.0,171.3312714598455,170.70750720101313,422962151.76,421422277.15999997,1539874.6000000238,246868040.0,ok
2012-03-01,167.94734372448613,167.21082863581904,351335418.58,349794674.73,1540743.8499999642,209193793.0,196.14918143870733,196.14710444334844,76796778.66,76795965.47,813.1899999976158,39152230.0,172.39341788855626,171.7726883832563,428132197.24,426590640.20000005,1541557.0399999619,248346023.0,ok
2012-03-02,168.91068969454216,168.19069537041986,357077035.86,355554968.55,1522067.3100000024,211399904.0,199.49161946025694,199.48989893646157,79000139.59,78999458.25,681.3400000035763,39600731.0,173.73548694408683,173.12881570996822,436077175.45000005,434554426.8,1522748.6500000358,251000635.0,ok
