Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,Status
2007-01-01,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070101: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-01-02,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070102: no table with closing price; available fields sample=[]
2007-01-03,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070103: no table with closing price; available fields sample=[]
2007-01-04,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070104: no table with closing price; available fields sample=[]
2007-01-05,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070105: no table with closing price; available fields sample=[]
2007-01-08,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070108: no table with closing price; available fields sample=[]
2007-01-09,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070109: no table with closing price; available fields sample=[]
2007-01-10,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070110: no table with closing price; available fields sample=[]
2007-01-11,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070111: no table with closing price; available fields sample=[]
2007-01-12,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070112: no table with closing price; available fields sample=[]
2007-01-15,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070115: no table with closing price; available fields sample=[]
2007-01-16,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070116: no table with closing price; available fields sample=[]
2007-01-17,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070117: no table with closing price; available fields sample=[]
2007-01-18,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070118: no table with closing price; available fields sample=[]
2007-01-19,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070119: no table with closing price; available fields sample=[]
2007-01-22,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070122: no table with closing price; available fields sample=[]
2007-01-23,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070123: no table with closing price; available fields sample=[]
2007-01-24,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070124: no table with closing price; available fields sample=[]
2007-01-25,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070125: no table with closing price; available fields sample=[]
2007-01-26,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070126: no table with closing price; available fields sample=[]
2007-01-29,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070129: no table with closing price; available fields sample=[]
2007-01-30,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070130: no table with closing price; available fields sample=[]
2007-01-31,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070131: no table with closing price; available fields sample=[]
2007-02-01,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070201: no table with closing price; available fields sample=[]
2007-02-02,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070202: no table with closing price; available fields sample=[]
2007-02-05,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070205: no table with closing price; available fields sample=[]
2007-02-06,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070206: no table with closing price; available fields sample=[]
2007-02-07,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070207: no table with closing price; available fields sample=[]
2007-02-08,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070208: no table with closing price; available fields sample=[]
2007-02-09,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070209: no table with closing price; available fields sample=[]
2007-02-12,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070212: no table with closing price; available fields sample=[]
2007-02-13,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070213: no table with closing price; available fields sample=[]
2007-02-14,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070214: no table with closing price; available fields sample=[]
2007-02-15,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070215: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-02-16,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070216: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-02-19,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070219: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-02-20,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070220: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-02-21,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070221: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-02-22,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070222: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-02-23,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070223: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-02-26,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070226: no table with closing price; available fields sample=[]
2007-02-27,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070227: no table with closing price; available fields sample=[]
2007-02-28,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20070228: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2007-03-01,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070301: no table with closing price; available fields sample=[]
2007-03-02,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070302: no table with closing price; available fields sample=[]
2007-03-05,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070305: no table with closing price; available fields sample=[]
2007-03-06,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070306: no table with closing price; available fields sample=[]
2007-03-07,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070307: no table with closing price; available fields sample=[]
2007-03-08,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070308: no table with closing price; available fields sample=[]
2007-03-09,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070309: no table with closing price; available fields sample=[]
2007-03-12,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070312: no table with closing price; available fields sample=[]
2007-03-13,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070313: no table with closing price; available fields sample=[]
2007-03-14,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070314: no table with closing price; available fields sample=[]
2007-03-15,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070315: no table with closing price; available fields sample=[]
2007-03-16,,,,,,,,,,,,,,,,,,,data unavailable: TPEX afterTrading/dailyQuotes 20070316: no table with closing price; available fields sample=[]
